Can ^md+pos+++=Can
you ^pp2+pp2+++=you
in ^in++++=in
detail ^nn++++=detail
speak ^vb++++=speak
about ^in++++=about
the ^ati++++=the
Japanese ^jj+atrb+++=Japanese
tea ^nn++++=tea
ceremony ^nn++++=ceremony
chanoyu ^nn+++??+=chanoyu
or ^cc++++=or
chado ^nn+++??+=chado
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
appreciated ^vpsv++by+xvbnx+=appreciated
by ^in++++=by
bushi ^nn+++??+=bushi
in ^in++++=in
olden ^jj+atrb+++=olden
times ^nns++++=times
? ^zz++++=?
Who ^whp+who+whq++=Who
was ^vbd+bedz+aux++=was
Sen ^np+++??+=Sen
no ^at++++=no
Rikyuu ^np+++??+=Rikyuu
and ^cc+cls+++=and
what ^wdt+who+++=what
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
influence ^nn+nom+++=influence
or ^cc++++=or
importance ^nn+nom+++=importance
in ^in++++=in
this ^dt+dem+++=this
field ^nn++++=field
? ^zz++++=?
